iter	RMSE
0	0.816212006
1	0.78863574
2	0.7619634136
3	0.7381632512
4	0.7155302591
5	0.6936997411
6	0.67285668
7	0.6534272358
8	0.6353378368
9	0.6176998026
10	0.6016442789
11	0.5863647653
12	0.5720620868
13	0.5586933966
14	0.5480767572
15	0.5362525364
16	0.525958217
17	0.5150613826
18	0.5063701563
19	0.4972795582
20	0.4886337869
21	0.4803047177
22	0.4730422075
23	0.4658548876
24	0.4596664828
25	0.4536420658
26	0.4476858129
27	0.4420723335
28	0.4369830011
29	0.4324683531
30	0.4277217683
31	0.4237705345
32	0.4201484448
33	0.4168029405
34	0.4133009563
35	0.410215552
36	0.4068719796
37	0.4032812396
38	0.3999550269
39	0.3971604002
40	0.3945289949
41	0.3917254127
42	0.3894441746
43	0.3868140293
44	0.3844765193
45	0.3824249537
46	0.3799098748
47	0.37807664
48	0.3759808374
49	0.3740275809
50	0.3718808189
51	0.3701979635
52	0.3682504003
53	0.3660703072
54	0.3643904377
55	0.3626305431
56	0.3611000412
57	0.3593856022
58	0.3579482297
59	0.3563875368
60	0.3548793401
61	0.3530682651
62	0.3515722987
63	0.3502203369
64	0.3486231027
65	0.347802315
66	0.3465989412
67	0.3453713731
68	0.3441144337
69	0.343005875
70	0.341739834
71	0.3415128366
72	0.340207946
73	0.3393894978
74	0.3392555878
75	0.3383278933
76	0.3374302371
77	0.3368928193
78	0.3358824676
79	0.335161073
80	0.3344628538
81	0.3338082872
82	0.3324271058
83	0.3316677233
84	0.3310728919
85	0.3306800111
86	0.3299588433
87	0.3293629513
88	0.3288555691
89	0.3281490687
90	0.3275445294
91	0.3271778251
92	0.326752526
93	0.3263869031
94	0.325676609
95	0.3251495319
96	0.324705313
97	0.3242250974
98	0.3235484731
99	0.322860218
100	0.3224839016
101	0.322132776
102	0.32172081
103	0.3212166293
104	0.3204369459
105	0.3197086211
106	0.3192094939
107	0.3185107297
108	0.3181487587
109	0.3177081113
110	0.317262798
111	0.3167059408
112	0.3162046079
113	0.31559143
114	0.3151815349
115	0.3148276507
116	0.3142437965
117	0.3140615247
118	0.3134616936
119	0.3128636549
120	0.3124824493
121	0.3118628559
122	0.3113580049
123	0.3109279785
124	0.3107102828
125	0.3104038534
126	0.31005738
127	0.3093942366
128	0.3091180904
129	0.3087275392
130	0.3082442423
131	0.3080431792
132	0.3074283454
133	0.3069248033
134	0.3058351041
135	0.3054475013
136	0.3048851907
137	0.3044630216
138	0.3040065194
139	0.3038367905
140	0.3032883592
141	0.303022897
142	0.3027311444
143	0.3023180943
144	0.3017618136
145	0.3013563008
146	0.3010797708
147	0.3006827778
148	0.3002892776
149	0.2999715577
150	0.2997030499
151	0.2993821266
152	0.2990917494
153	0.2990673932
154	0.2987211418
155	0.2984680314
156	0.2980899548
157	0.2977133231
158	0.2973411873
159	0.2970298644
160	0.2966745685
161	0.2963210094
162	0.2959700913
163	0.2951875233
164	0.2949579552
165	0.2947021325
166	0.2940526063
167	0.2936697564
168	0.293012945
169	0.2926818534
170	0.2923255737
171	0.2920680226
172	0.2914707937
173	0.2910618211
174	0.2907843154
175	0.2905172545
176	0.2901915444
177	0.2899289755
178	0.2893913242
179	0.2891904435
180	0.2888497228
181	0.2882912312
182	0.2879811635
183	0.2874228531
184	0.2871820753
185	0.2869323918
186	0.2866239383
187	0.2861223299
188	0.2854485987
189	0.2851772779
190	0.2848945556
191	0.2844879952
192	0.284320587
193	0.2841949455
194	0.2836580484
195	0.2833945272
196	0.2832510371
197	0.2828301049
198	0.2823861949
199	0.2818007727
200	0.2816350734
201	0.2814270625
202	0.281284703
203	0.2808942546
204	0.2806891781
205	0.2803484015
206	0.2801582979
207	0.2796854761
208	0.2794065325
209	0.2791394988
210	0.2783923347
211	0.2780294997
212	0.2777025333
213	0.2775560171
214	0.27691895
215	0.2765723371
216	0.2758455748
217	0.2755437805
218	0.275059849
219	0.2747561572
220	0.2744056892
221	0.2740814342
222	0.2738642678
223	0.2733443475
224	0.2730413473
225	0.2726562329
226	0.2724184754
227	0.2718568396
228	0.2717277717
229	0.2715772161
230	0.2711801388
231	0.2710059529
232	0.2708533617
233	0.270423993
234	0.2701799322
235	0.2698353389
236	0.2694449694
237	0.2691984448
238	0.2688119529
239	0.2681672378
240	0.2677936336
241	0.267328497
242	0.267174867
243	0.267005706
244	0.2666736319
245	0.2662363333
246	0.2659610209
247	0.2658105479
248	0.2654648605
249	0.2650974756
250	0.2647385316
251	0.2644718668
252	0.2642496475
253	0.2639695925
254	0.2636356457
255	0.2633878547
256	0.2631273913
257	0.2626351311
258	0.2623950209
259	0.2621998188
260	0.262028203
261	0.2618396525
262	0.2614190535
263	0.2610101007
264	0.2602964466
265	0.2599744244
266	0.259575689
267	0.2591665408
268	0.2589155106
269	0.2585396139
270	0.2581834275
271	0.2580125001
272	0.257581054
273	0.2572300192
274	0.2569964882
275	0.2565826827
276	0.2562874587
277	0.2561244766
278	0.2555045349
279	0.2552668684
280	0.2550384548
281	0.254775251
282	0.2543467706
283	0.2537467267
284	0.2535244961
285	0.2531519943
286	0.2529003167
287	0.2526948182
288	0.2523571068
289	0.252146348
290	0.2519368061
291	0.2515579994
292	0.2510101316
293	0.2508185978
294	0.2505832958
295	0.2503669891
296	0.2500987597
297	0.2499055129
298	0.2497115925
299	0.2493953957
300	0.2492009689
301	0.248911919
302	0.2486517285
303	0.248396201
304	0.2481468454
305	0.2479375709
306	0.2476337548
307	0.2471939487
308	0.2469279248
309	0.2466659312
310	0.2463346192
311	0.2460116539
312	0.2457910202
313	0.2456355917
314	0.2453618618
315	0.2450975515
316	0.2448040055
317	0.244611701
318	0.2444268705
319	0.2441929831
320	0.2437110837
321	0.2433084388
322	0.2429702444
323	0.2427332814
324	0.2423841169
325	0.2420673472
326	0.2418717618
327	0.2415226676
328	0.2411825117
329	0.2407911502
330	0.2406305706
331	0.2403475622
332	0.2400573343
333	0.2398833452
334	0.2397622738
335	0.239503494
336	0.2392923416
337	0.2391210818
338	0.2388911099
339	0.2387191432
340	0.2385655669
341	0.2382393194
342	0.2380682356
343	0.2378638116
344	0.2376454345
345	0.2374050766
346	0.2371420151
347	0.2368360412
348	0.2366739295
349	0.2365484356
350	0.2363041383
351	0.2358498659
352	0.235712864
353	0.2355751964
354	0.2354034634
355	0.235226656
356	0.2347046833
357	0.2344811873
358	0.2341112212
359	0.2339681615
360	0.2335333316
361	0.233327402
362	0.2329956722
363	0.2327867062
364	0.2323955128
365	0.2321538976
366	0.231775442
367	0.2314756535
368	0.2312935474
369	0.2311036212
370	0.2307945978
371	0.2306799704
372	0.2305110884
373	0.2302340491
374	0.2301180728
375	0.2298808474
376	0.2296961553
377	0.2295716493
378	0.2291947256
379	0.2288038844
380	0.228513845
381	0.2282892205
382	0.2280817711
383	0.2280214474
384	0.2278278806
385	0.2277799475
386	0.2273485257
387	0.2271455419
388	0.2268579583
389	0.2266967929
390	0.2264747476
391	0.2261905956
392	0.2260147942
393	0.2257329739
394	0.2255514868
395	0.2254313104
396	0.2250484826
397	0.2248377261
398	0.224607759
399	0.2244838494
400	0.2242988424
401	0.2239734943
402	0.223813134
403	0.2235416865
404	0.2233533373
405	0.2231743377
406	0.2228887371
407	0.222714471
408	0.2224513412
409	0.2223574037
410	0.2221384269
411	0.2219107168
412	0.2217024354
413	0.2214492768
414	0.2214124425
415	0.2212109498
416	0.2209566349
417	0.2207954839
418	0.2206352322
419	0.2202296039
420	0.219737191
421	0.2197124323
422	0.2196165333
423	0.2192498646
424	0.2190477062
425	0.2186800674
426	0.2185755914
427	0.218234622
428	0.2180249845
429	0.217816329
430	0.2175661486
431	0.217294147
432	0.2169019358
433	0.2167905918
434	0.2166169339
435	0.2165446087
436	0.2162337052
437	0.2159937994
438	0.2158738349
439	0.2156619172
440	0.2153915038
441	0.2153308444
442	0.2150320482
443	0.2148642715
444	0.2146483161
445	0.2144870977
446	0.2143805599
447	0.2140940327
448	0.2138008386
449	0.2136322982
450	0.213490944
451	0.2132669558
452	0.2131629283
453	0.2129347862
454	0.2127491669
455	0.2124609253
456	0.2121918579
457	0.2120295455
458	0.2116979381
459	0.2114575058
460	0.2113037976
461	0.2111629576
462	0.2106984337
463	0.210330925
464	0.2101055171
465	0.2096998813
466	0.2094004337
467	0.2092383089
468	0.2090469869
469	0.2089169834
470	0.2087824828
471	0.2086270072
472	0.2084324674
473	0.2083379905
474	0.2081094028
475	0.2080040063
476	0.2077555164
477	0.2076753967
478	0.2074911185
479	0.2072695103
480	0.2071335994
481	0.2069003591
482	0.2067274128
483	0.2065567807
484	0.2064258211
485	0.2062494841
486	0.2061003654
487	0.2058725467
488	0.2057667455
489	0.2055845516
490	0.2052689006
491	0.2050892657
492	0.2048416027
493	0.2046564226
494	0.2045073804
495	0.2044209908
496	0.2043907382
497	0.2042418175
498	0.203885569
499	0.203775126
500	0.2035140963
501	0.2033147464
502	0.2031912453
503	0.2029131667
504	0.2026635313
505	0.202423027
506	0.2022220429
507	0.2021267379
508	0.2020253486
509	0.2019388263
510	0.2018197381
511	0.2014335751
512	0.2013234471
513	0.2011701302
514	0.2008832637
515	0.2007116034
516	0.2006263305
517	0.200552369
518	0.200225004
519	0.1999626318
520	0.1998199674
521	0.1996096735
522	0.1993977355
523	0.1992517048
524	0.1991309618
525	0.1990751291
526	0.1987860936
527	0.1986240974
528	0.1984434572
529	0.1982910354
530	0.1981649104
531	0.1980327261
532	0.1978410908
533	0.1977770129
534	0.1975154333
535	0.1972988861
536	0.1971911026
537	0.197059129
538	0.1969397613
539	0.1967476975
540	0.1966237771
541	0.1963719521
542	0.1961717913
543	0.1960118986
544	0.1955981689
545	0.1955407726
546	0.1953578321
547	0.1951837114
548	0.1950233383
549	0.1948098641
550	0.1947193864
551	0.1943099927
552	0.194135768
553	0.1939945001
554	0.193832748
555	0.193606904
556	0.1934240805
557	0.1932380708
558	0.1931005551
559	0.1929335001
560	0.1927333077
561	0.1925350676
562	0.1923953228
563	0.1921807938
564	0.1920427528
565	0.1919660881
566	0.1918141544
567	0.1916472491
568	0.1915292742
569	0.1912553168
570	0.1911347117
571	0.1910493205
572	0.1909562565
573	0.1907934172
574	0.1905719372
575	0.1904219431
576	0.1902790189
577	0.1901114998
578	0.1900510013
579	0.1898361402
580	0.1896565537
581	0.1894719974
582	0.189406245
583	0.1891544981
584	0.1890211333
585	0.1889129392
586	0.1888154887
587	0.1884445643
588	0.1883497939
589	0.1883355178
590	0.1879904183
591	0.187940231
592	0.1877570056
593	0.1876770061
594	0.1874633714
595	0.1873053184
596	0.1871671414
597	0.186957446
598	0.1868822947
599	0.1866965692
