iter	Passed	Remaining
0	106	63822
1	220	65876
2	323	64308
3	456	68036
4	572	68151
5	678	67163
6	805	68226
7	926	68529
8	1046	68749
9	1153	68057
10	1271	68088
11	1390	68149
12	1486	67114
13	1599	66968
14	1631	63621
15	1741	63568
16	1851	63506
17	1950	63055
18	2070	63306
19	2179	63212
20	2301	63448
21	2405	63204
22	2506	62886
23	2609	62639
24	2736	62933
25	2857	63093
26	2964	62908
27	3079	62918
28	3195	62927
29	3296	62637
30	3407	62542
31	3516	62416
32	3631	62393
33	3740	62263
34	3857	62275
35	3963	62095
36	4088	62205
37	4213	62321
38	4320	62153
39	4436	62114
40	4574	62364
41	4692	62342
42	4803	62219
43	4941	62439
44	5071	62552
45	5192	62537
46	5324	62642
47	5467	62871
48	5630	63316
49	5767	63444
50	5913	63657
51	6045	63706
52	6169	63669
53	6311	63814
54	6448	63899
55	6583	63951
56	6731	64128
57	6862	64130
58	6990	64100
59	7126	64138
60	7276	64298
61	7416	64359
62	7546	64325
63	7685	64366
64	7832	64468
65	7954	64359
66	8115	64558
67	8244	64500
68	8402	64660
69	8554	64768
70	8690	64747
71	8718	63935
72	8857	63942
73	8998	63959
74	9021	63153
75	9176	63267
76	9321	63316
77	9442	63195
78	9570	63115
79	9709	63110
80	9854	63139
81	9993	63131
82	10118	63024
83	10251	62971
84	10390	62951
85	10518	62864
86	10634	62705
87	10757	62588
88	10896	62563
89	11019	62444
90	11137	62299
91	11268	62222
92	11402	62163
93	11525	62043
94	11669	62031
95	11822	62069
96	11940	61920
97	12052	61737
98	12222	61851
99	12542	62713
100	12731	62900
101	12894	62956
102	13065	63042
103	13246	63175
104	13446	63392
105	13607	63416
106	13748	63347
107	13907	63356
108	14032	63212
109	14177	63155
110	14347	63204
111	14495	63158
112	14744	63545
113	14940	63695
114	15118	63760
115	15287	63784
116	15424	63675
117	15580	63641
118	15739	63618
119	15886	63544
120	16034	63474
121	16193	63445
122	16332	63336
123	16470	63224
124	16627	63185
125	16761	63053
126	16896	62929
127	17073	62959
128	17221	62877
129	17383	62849
130	17536	62785
131	17682	62694
132	17824	62587
133	17949	62422
134	18101	62350
135	18239	62230
136	18380	62116
137	18524	62015
138	18649	61851
139	18783	61716
140	18936	61643
141	19083	61549
142	19234	61471
143	19378	61363
144	19519	61251
145	19669	61162
146	19795	61001
147	19950	60929
148	20102	60846
149	20246	60738
150	20375	60587
151	20521	60482
152	20653	60339
153	20674	59874
154	20818	59769
155	20972	59690
156	21105	59552
157	21251	59450
158	21408	59377
159	21550	59265
160	21692	59147
161	21862	59109
162	22009	59006
163	22153	58896
164	22296	58780
165	22440	58668
166	22601	58600
167	22745	58488
168	22882	58357
169	23029	58250
170	23168	58124
171	23302	57984
172	23446	57871
173	23602	57784
