iter	RMSE
0	5194.744807
1	4893.372513
2	4625.27579
3	4397.27385
4	4183.311055
5	3995.787809
6	3842.159656
7	3697.670293
8	3566.098198
9	3451.005534
10	3349.118982
11	3263.407969
12	3180.40235
13	3113.343327
14	3058.185669
15	3006.445707
16	2962.246527
17	2922.825695
18	2886.258945
19	2857.92225
20	2827.817021
21	2799.455626
22	2773.328556
23	2751.420846
24	2731.862804
25	2714.533493
26	2697.982048
27	2680.256296
28	2667.940709
29	2656.536775
30	2643.607396
31	2633.876988
32	2625.715105
33	2616.79735
34	2609.513223
35	2594.323107
36	2583.717111
37	2576.368353
38	2567.134474
39	2555.39289
40	2545.995024
41	2537.877921
42	2533.166898
43	2526.822483
44	2520.659426
45	2515.514245
46	2509.790738
47	2505.627467
48	2501.143393
49	2494.24311
50	2489.585947
51	2482.230263
52	2478.937402
53	2473.224201
54	2468.647332
55	2467.041485
56	2463.06991
57	2458.458087
58	2456.152377
59	2454.939893
60	2448.399785
61	2442.830151
62	2437.573579
63	2433.619601
64	2431.715261
65	2431.015462
66	2426.569759
67	2422.225122
68	2419.380743
69	2416.764328
70	2411.691193
71	2408.344041
72	2405.139518
73	2404.105478
74	2400.227132
75	2397.918227
76	2392.170999
77	2389.839097
78	2386.300528
79	2385.450535
80	2381.120236
81	2378.028798
82	2376.23572
83	2374.67457
84	2367.573573
85	2363.661703
86	2359.744441
87	2357.027889
88	2350.468392
89	2348.096619
90	2345.980306
91	2341.286702
92	2336.21787
93	2331.182679
94	2328.480424
95	2322.694239
96	2321.038245
97	2315.81491
98	2311.931565
99	2309.041545
100	2306.404914
101	2299.739488
102	2296.921976
103	2295.185548
104	2291.168781
105	2287.847436
106	2286.299285
107	2283.364625
108	2279.832394
109	2277.174614
110	2273.684699
111	2270.02177
112	2267.98542
113	2265.145019
114	2262.517623
115	2261.59964
116	2258.145393
117	2254.646217
118	2251.276947
119	2246.608308
120	2244.099781
121	2243.476458
122	2242.459339
123	2239.493201
124	2238.178585
125	2232.730733
126	2230.475012
127	2227.816542
128	2223.181122
129	2222.602807
130	2222.419608
131	2221.91335
132	2219.921205
133	2217.892688
134	2217.15002
135	2216.115151
136	2215.258475
137	2211.946409
138	2210.13067
139	2208.704295
140	2207.889609
141	2203.845107
142	2201.292882
143	2199.316791
144	2197.935379
145	2194.306872
146	2192.266141
147	2191.005347
148	2189.555862
149	2188.130723
150	2187.823483
151	2184.502598
152	2182.007723
153	2181.489242
154	2180.814531
155	2179.262762
156	2178.38784
157	2177.664599
158	2176.094461
159	2175.809747
160	2172.870575
161	2170.961016
162	2169.377852
163	2168.531371
164	2166.249137
165	2165.043146
166	2162.916207
167	2162.132577
168	2160.170274
169	2159.533608
170	2155.243999
171	2152.192214
172	2150.17579
173	2148.688957
174	2147.013751
175	2146.801038
176	2145.102592
177	2143.748627
178	2143.515025
179	2139.418431
180	2136.684484
181	2134.405376
182	2132.423878
183	2127.733203
184	2125.079942
185	2123.596117
186	2122.012156
187	2121.562244
188	2121.305812
189	2119.846189
190	2116.839714
191	2116.298514
192	2116.034442
193	2113.587979
194	2112.510077
195	2112.181622
196	2110.560581
197	2109.030918
198	2104.761958
199	2101.89985
