iter	Passed	Remaining
0	191	38041
1	227	22522
2	264	17355
3	299	14653
4	336	13109
5	373	12062
6	410	11308
7	446	10718
8	483	10257
9	518	9852
10	556	9553
11	591	9267
12	627	9020
13	662	8804
14	700	8638
15	737	8477
16	775	8346
17	811	8205
18	847	8072
19	883	7947
20	919	7840
21	956	7735
22	995	7661
23	1032	7574
24	1071	7501
25	1106	7406
26	1143	7327
27	1179	7246
28	1219	7189
29	1254	7110
30	1291	7038
31	1325	6960
32	1363	6898
33	1398	6826
34	1435	6769
35	1472	6709
36	1508	6645
37	1544	6582
38	1579	6522
39	1614	6458
40	1650	6399
41	1685	6339
42	1720	6282
43	1756	6229
44	1794	6179
45	1829	6124
46	1865	6073
47	1900	6017
48	1936	5966
49	1971	5913
50	2008	5867
51	2042	5814
52	2077	5763
53	2115	5720
54	2155	5682
55	2193	5639
56	2230	5596
57	2269	5556
58	2307	5514
59	2329	5436
60	2368	5396
61	2406	5356
62	2444	5316
63	2484	5278
64	2521	5237
65	2535	5147
66	2573	5108
67	2617	5081
68	2663	5056
69	2701	5017
70	2740	4979
71	2779	4942
72	2823	4911
73	2860	4871
74	2900	4833
75	2940	4797
76	2980	4760
77	3018	4721
78	3056	4682
79	3095	4643
80	3136	4608
81	3175	4570
82	3214	4531
83	3252	4492
84	3291	4452
85	3329	4414
86	3368	4375
87	3406	4335
88	3446	4298
89	3487	4262
90	3525	4222
91	3563	4183
92	3605	4148
93	3646	4111
94	3685	4073
95	3724	4035
96	3763	3996
97	3800	3955
98	3842	3919
99	3879	3879
100	3916	3839
101	3952	3797
102	3990	3757
103	4025	3715
104	4062	3675
105	4098	3634
106	4135	3594
107	4173	3555
108	4210	3515
109	4245	3473
110	4282	3433
111	4317	3392
112	4358	3355
113	4394	3315
114	4430	3275
115	4465	3233
116	4506	3197
117	4541	3155
118	4578	3116
119	4614	3076
120	4650	3036
121	4687	2996
122	4724	2957
123	4760	2917
124	4797	2878
125	4832	2837
126	4870	2799
127	4906	2759
128	4944	2721
129	4980	2681
130	5021	2645
131	5057	2605
132	5094	2566
133	5129	2526
134	5166	2487
135	5202	2448
136	5239	2409
137	5274	2369
138	5311	2331
139	5346	2291
140	5384	2252
141	5420	2213
142	5456	2175
143	5492	2136
144	5529	2097
145	5565	2058
146	5601	2019
147	5636	1980
148	5673	1941
149	5709	1903
150	5746	1864
151	5781	1825
152	5817	1786
153	5851	1747
154	5887	1709
155	5924	1670
156	5959	1632
157	5993	1593
158	6029	1554
159	6064	1516
160	6102	1478
161	6138	1440
162	6177	1402
163	6211	1363
164	6247	1325
165	6281	1286
166	6316	1248
167	6352	1209
168	6387	1171
169	6423	1133
170	6459	1095
171	6496	1057
172	6529	1019
173	6568	981
174	6604	943
175	6640	905
176	6675	867
177	6713	829
178	6748	791
179	6784	753
180	6819	715
181	6856	678
182	6891	640
183	6928	602
184	6962	564
185	6997	526
186	7033	488
187	7068	451
188	7102	413
189	7138	375
190	7173	338
191	7210	300
192	7246	262
193	7282	225
194	7318	187
195	7354	150
196	7388	112
197	7424	74
198	7460	37
199	7496	0
